frase,agresividad,manipulacion,sarcasmo
Me estás agotando.,0.3,0.5,0.1
Siempre encuentras algo para pelear.,0.4,0.6,0.2
No todo es un ataque contra ti.,0.2,0.5,0.2
Te encanta darle vueltas a todo.,0.3,0.5,0.3
Nunca es suficiente para ti.,0.3,0.7,0.1
No sé qué más quieres de mí.,0.2,0.6,0.1
Así no se puede contigo.,0.3,0.5,0.2
Estás confundiendo las cosas otra vez.,0.4,0.5,0.2
Eso no fue lo que quise decir y lo sabes.,0.3,0.6,0.2
Siempre malinterpretas todo.,0.4,0.5,0.2
No voy a seguir con esto.,0.2,0.4,0.1
Haz lo que quieras entonces.,0.2,0.4,0.4
Ya me cansé de explicarme.,0.2,0.4,0.2
"Estás tergiversando mis palabras, yo nunca dije eso.",0.5,0.7,0.2
Ya estás con la otra,0.5,0.7,0.2
Mejor cásate con ella,0.4,0.7,0.3
mejor quedate con ella,0.4,0.7,0.2
Te lo estoy diciendo,0.2,0.4,0.1
Quien te dejó salir,0.5,0.5,0.2
Vete con la otra,0.5,0.6,0.2
Ya no me amas verdad,0.3,0.8,0.1
Ya no quieres conmigo o qué,0.3,0.7,0.2
Óyeme a mí no me sales así,0.5,0.6,0.2
Tú no pides permiso y no lo tendrás,0.6,0.7,0.1
Tú no te mandas solo,0.5,0.6,0.1
Con quien vas,0.3,0.5,0.2
Y con el permiso de quien,0.3,0.5,0.2
Prométeme que no me vas a dejar.,0.1,0.8,0.0
"Soñé que me dejabas, fuiste horrible.",0.3,0.7,0.1
Nunca quieres estar conmigo.,0.3,0.7,0.1
Siempre me rechazas.,0.4,0.7,0.1
¿Ves? Por eso siento que te vas a ir.,0.2,0.7,0.2
"Te perdono, aunque me arruinaste la noche.",0.2,0.7,0.2
Solo vienes cuando te conviene.,0.3,0.7,0.2
No eres lo suficientemente cariñoso.,0.4,0.7,0.1
Eres demasiado frío.,0.5,0.6,0.1
Todo lo haces calculado.,0.4,0.5,0.2
Seguro hablas con otras.,0.5,0.6,0.2
Siempre tienes a alguien más.,0.4,0.7,0.2
Me provocas y luego te alejas.,0.4,0.6,0.2
Nunca es suficiente contigo.,0.3,0.7,0.1
Eres imposible de complacer.,0.4,0.7,0.1
¿Estás seguro de que pasó así?,0.2,0.5,0.3
Te lo estás inventando otra vez.,0.5,0.6,0.2
Estás igual que tu madre.,0.6,0.6,0.2
Siempre exageras todo.,0.4,0.6,0.2
Solo buscas pelea.,0.4,0.6,0.2
¿Por qué nos haces esto?,0.4,0.7,0.2
Eres cruel sin razón.,0.7,0.6,0.1
Siempre arruinas todo.,0.5,0.6,0.1
Nada de lo que hago te basta.,0.3,0.7,0.1
Te encanta hacerme sentir así.,0.4,0.7,0.2
Luego dices que yo soy el problema.,0.3,0.6,0.3
Nunca te haces responsable.,0.4,0.7,0.1
Siempre soy yo el que termina mal.,0.3,0.7,0.1
No sé para qué intento hablar contigo.,0.2,0.5,0.2
Siempre terminas volteando todo.,0.3,0.6,0.2
¿Estás enojada conmigo otra vez?,0.2,0.5,0.2
No tienes razones para estar así.,0.4,0.6,0.2
"Si estás mal, seguro hice algo yo.",0.2,0.7,0.2
Tus problemas son demasiado para mí.,0.3,0.6,0.1
No puedo con tu inestabilidad.,0.4,0.6,0.1
Deberías arreglarte antes de estar conmigo.,0.4,0.6,0.2
Me estás cargando con cosas que no son mías.,0.3,0.6,0.2
Siempre tengo que cuidar lo que digo por ti.,0.3,0.6,0.2
"Eso no es respeto, es que me temes.",0.4,0.6,0.3
"Si me respetaras, no reaccionarías así.",0.4,0.7,0.2
"El respeto se gana, no se exige.",0.3,0.5,0.2
Te haces la víctima demasiado fácil.,0.5,0.7,0.2
Todo lo conviertes en algo contra mí.,0.4,0.7,0.2
No sé cómo siempre termino siendo el malo.,0.2,0.6,0.2
Mira hasta dónde me haces llegar.,0.4,0.7,0.2
Tú provocas estas situaciones.,0.4,0.7,0.1
Luego exageras lo que pasó.,0.3,0.6,0.2
"No fue para tanto, otra vez.",0.3,0.6,0.2
Siempre haces un drama innecesario.,0.4,0.6,0.2
Te encanta complicar todo.,0.3,0.5,0.2
No entiendo por qué reaccionas así.,0.2,0.4,0.2
Estás distorsionando la realidad.,0.5,0.6,0.2
Eso no pasó como dices.,0.4,0.6,0.2
Otra vez inventando cosas.,0.4,0.6,0.2
No voy a aceptar esa versión.,0.3,0.5,0.2
Deberías agradecer que sigo aquí.,0.3,0.7,0.2
Cualquiera ya se habría ido.,0.3,0.7,0.2
No sabes lo difícil que es estar contigo.,0.4,0.7,0.1
Siempre termino pagando por todo.,0.3,0.7,0.1
Y aun así dices que yo soy el problema.,0.2,0.6,0.3
"Si lo dices riendo, no cuenta",0.2,0.5,0.6
¿Estás orgulloso de ti mismo?,0.3,0.4,0.4
Le estás dando demasiada importancia,0.3,0.5,0.3
"Puede que no tenga buena memoria, pero",0.1,0.4,0.2
No soy tan inteligente,0.1,0.3,0.3
No se me dan bien las palabras como a ti,0.1,0.4,0.3
Era una broma,0.1,0.4,0.6
No quería hacerte daño,0.1,0.5,0.1
No me entiendes,0.2,0.6,0.2
No mentí,0.2,0.4,0.1
No miento,0.1,0.4,0.1
No sé,0.0,0.2,0.1
No lo recuerdo,0.1,0.4,0.2
Tú y yo compartimos los mismos valores,0.1,0.5,0.1
"Somos iguales, ¿sabes?",0.1,0.5,0.2
"No lo hice, pero podría haberlo hecho",0.2,0.4,0.3
Te entiendo,0.1,0.3,0.1
No lo dije con mala intención,0.1,0.4,0.2
La intención debería tener más peso,0.1,0.5,0.2
Todo el mundo tiene problemas,0.1,0.4,0.2
No sé de qué estás hablando,0.2,0.3,0.3
Actúas como si yo fuera un monstruo,0.3,0.6,0.2
"Si soy tan mala persona, entonces no me hables.",0.3,0.6,0.3
"Le mentí mucho a mi ex, pero jamás te mentiría a ti.",0.2,0.7,0.2
Muchas mujeres quieren salir conmigo.,0.2,0.6,0.3
Eres tan hermosa. Podrías tener cualquier cosa,0.1,0.4,0.2
¿Qué se supone que debo hacer al respecto,0.1,0.3,0.3
Simplemente soy mala en las relaciones,0.1,0.5,0.2
Yo no estoy armando un escándalo. Tú eres quien está armando el escándalo,0.5,0.6,0.3
"Yo estoy jodido, tú estás jodido, los dos estamos jodidos.",0.3,0.4,0.2
Mi ex todavía quiere estar conmigo,0.2,0.7,0.3
Tú y tu ex deberían estar juntos,0.4,0.7,0.3
Nunca,0.1,0.2,0.2
No es propio de ti,0.2,0.5,0.2
"Ah ok, entonces ahora sí existo.",0.2,0.4,0.6
"Solo apareces cuando te conviene, ¿no?",0.3,0.6,0.4
"Qué raro, hace rato no importaba y ahora sí.",0.2,0.5,0.6
Siempre haces lo mismo y luego “perdón”.,0.3,0.5,0.4
¿Y esta vez qué cambia o es otro ciclo?,0.2,0.4,0.4
Dices que quieres arreglarlo pero actúas igual.,0.2,0.5,0.4
No sé si hablas en serio o solo estás aburrido.,0.2,0.4,0.4
"Me buscas, me incomodas y luego te haces el confundido.",0.3,0.5,0.4
Qué conveniente que no recuerdes lo que dices.,0.3,0.6,0.5
"Claro, nunca es tu intención… pero siempre pasa.",0.2,0.5,0.6
Me tratas mal y luego quieres ver algo juntos.,0.4,0.6,0.3
No entiendo cómo puedes actuar como si nada.,0.2,0.4,0.3
Primero me dices cosas horribles y luego “hola”.,0.4,0.5,0.4
¿De verdad no ves el problema o te haces?,0.3,0.5,0.4
Siempre terminas minimizando todo.,0.3,0.5,0.3
No sé para qué me preguntas si no escuchas.,0.2,0.5,0.3
Me pides que hable pero ignoras todo.,0.2,0.5,0.3
Quieres seguir hablando pero sin cambiar nada.,0.2,0.5,0.3
Te molesta todo lo mío pero lo tuyo nunca.,0.3,0.6,0.4
Qué fácil es para ti decir “ya pasó”.,0.2,0.5,0.4
"No es que no entienda, es que no quiero lo mismo.",0.2,0.4,0.3
Siempre haces que parezca que exagero.,0.3,0.6,0.3
Y luego te preguntas por qué me alejo.,0.2,0.4,0.3
"Dices que quieres hablar, pero solo cuando te conviene.",0.2,0.6,0.4
"No es falta de respuesta, es falta de ganas.",0.2,0.4,0.4
Ya ni sé si es broma o así eres.,0.2,0.3,0.4
Te explico algo y lo ignoras completamente.,0.2,0.5,0.2
Me cansa repetir lo mismo contigo.,0.2,0.4,0.2
Siempre termino sintiéndome igual después de hablarte.,0.1,0.4,0.2
"No cambia nada, solo cambia el día.",0.1,0.4,0.3
"Me dices que no quieres perderme, pero actúas como si sí.",0.2,0.6,0.3
Tus “disculpas” ya suenan automáticas.,0.2,0.5,0.4
"No necesito más palabras, necesito que cambies.",0.2,0.5,0.2
Siempre encuentras forma de arruinarlo.,0.3,0.5,0.2
"No es confusión, es que no te importa lo suficiente.",0.2,0.6,0.3
Me hablas como si no hubiera pasado nada.,0.2,0.4,0.3
Y luego dices que yo soy el problema.,0.2,0.6,0.3
No voy a fingir que todo está bien.,0.1,0.3,0.2
Ya no tengo energía para esto.,0.1,0.3,0.1
"Si no lo entiendes a estas alturas, no lo vas a entender.",0.2,0.5,0.3
Me buscas solo cuando te aburres de los demás.,0.2,0.6,0.4
"No es que no entiendas, es que no te importa.",0.2,0.6,0.3
Hablar contigo siempre termina igual: peor.,0.2,0.4,0.3
Lo peor es que sabes lo que haces y aún así lo haces.,0.3,0.5,0.3
"No eres confuso, eres inconsistente.",0.2,0.4,0.3
"Dices que quieres arreglarlo, pero te encanta arruinarlo.",0.2,0.5,0.4
"No te nace cambiar, solo te nace insistir.",0.2,0.4,0.3
Siempre me dejas con más dudas que antes.,0.1,0.4,0.2
"No eres así “sin querer”, eres así siempre.",0.3,0.5,0.3
Te encanta provocar y luego hacerte el tranquilo.,0.3,0.5,0.4
Nunca es suficiente contigo porque nunca haces nada real.,0.2,0.6,0.2
"No me duele lo que dices, me cansa que lo repitas.",0.2,0.4,0.3
"Siempre es lo mismo contigo, diferente día.",0.1,0.4,0.2
"No es que fallemos, es que tú no haces nada distinto.",0.2,0.5,0.2
Te haces el confundido para no hacerte cargo.,0.3,0.6,0.3
Lo más molesto es que actúas como si no pasara nada.,0.2,0.4,0.3
No sabes hablar sin incomodar.,0.3,0.4,0.2
"No me pierdes por lo que dices, sino por cómo eres.",0.2,0.4,0.3
"No es difícil entenderme, es difícil que te importe.",0.2,0.5,0.3
Siempre terminas haciendo que hablar contigo no valga la pena.,0.2,0.4,0.3
Ok.,0.0,0.1,0.2
Haz lo que quieras.,0.1,0.3,0.4
No tengo nada que decir.,0.0,0.2,0.3
Todo bien.,0.0,0.1,0.3
Como digas.,0.0,0.2,0.4
Me da igual.,0.1,0.3,0.4
No es relevante.,0.0,0.2,0.3
No hace falta.,0.0,0.2,0.2
Ya entendí.,0.0,0.2,0.3
Sigue con lo tuyo.,0.1,0.3,0.3
No es necesario hablar más.,0.0,0.2,0.2
No cambia nada.,0.0,0.2,0.2
Déjalo así.,0.0,0.2,0.2
No tengo interés.,0.0,0.3,0.2
Está bien así.,0.0,0.1,0.2
No espero nada.,0.0,0.3,0.2
No importa.,0.0,0.2,0.2
No hace diferencia.,0.0,0.2,0.2
Ya fue.,0.0,0.2,0.2
X.,0.0,0.1,0.3
"Tranquilo, ya entendí cómo eres.",0.1,0.4,0.4
No eres tan complicado como crees.,0.2,0.3,0.4
Ya no me sorprende nada de ti.,0.1,0.3,0.4
Pensé que eras diferente.,0.1,0.4,0.3
Al final sí eras como todos.,0.2,0.4,0.3
"No te preocupes, ya no espero nada.",0.1,0.4,0.3
"Me tomó tiempo, pero ya lo vi.",0.1,0.3,0.2
"No es lo que dices, es lo que demuestras.",0.1,0.4,0.3
Ya no necesito que me expliques nada.,0.0,0.3,0.2
"No era tan difícil, solo no querías.",0.2,0.5,0.3
Curioso cómo todo encaja ahora.,0.1,0.3,0.4
"Me quedo con lo que hiciste, no con lo que dices.",0.1,0.4,0.3
"No fue de la nada, solo tardé en verlo.",0.1,0.3,0.2
Ahora entiendo por qué nunca funcionó.,0.0,0.3,0.2
No eras para tanto.,0.2,0.4,0.3
"Te deseo lo mejor, pero lejos de mí.",0.1,0.4,0.2
No hay nada más que hablar.,0.0,0.2,0.2
Esto ya no es para mí.,0.0,0.3,0.1
Prefiero mi paz.,0.0,0.3,0.1
No quiero seguir en lo mismo.,0.0,0.3,0.1
Me elijo a mí esta vez.,0.0,0.3,0.1
No voy a insistir donde no hay cambio.,0.1,0.4,0.2
Esto termina aquí.,0.1,0.3,0.1
"No es enojo, es claridad.",0.1,0.3,0.2
Ya no quiero esto en mi vida.,0.1,0.3,0.1
"No hay rencor, solo distancia.",0.0,0.2,0.2
No es lo que quiero para mí.,0.0,0.3,0.1
Me cansé de intentar sola.,0.1,0.4,0.1
No voy a quedarme donde no hay paz.,0.1,0.4,0.1
Esto ya está cerrado para mí.,0.0,0.2,0.1
Ya entendí… y ya no quiero.,0.0,0.3,0.2
No era tan difícil… solo no eras tú.,0.1,0.4,0.3
Me cansé… así de simple.,0.1,0.3,0.2
Lo vi tarde… pero lo vi.,0.0,0.2,0.2
No cambiaste… yo sí.,0.1,0.3,0.2
Era obvio… solo no lo quería aceptar.,0.1,0.3,0.2
No es drama… es decisión.,0.0,0.2,0.2
Me quedo con lo que sentí… y me voy.,0.0,0.2,0.1
No es por lo de ahora… es por todo.,0.1,0.4,0.2
Intenté… ya no más.,0.0,0.3,0.1
No era confusión… era realidad.,0.0,0.3,0.2
Ya no me afecta… y eso lo dice todo.,0.1,0.3,0.3
No te odio… solo ya no estás.,0.1,0.3,0.2
No perdiste de golpe… fue poco a poco.,0.1,0.3,0.2
No fue difícil irme… fue necesario.,0.1,0.3,0.1
"Tranquila, ya entendí que solo soy opción cuando te aburres.",0.1,0.6,0.4
"Ni te preocupes por explicarte, ya me quedó claro todo sin que dijeras nada.",0.1,0.4,0.4
"Qué raro, cuando quieres sí tienes tiempo… pero bueno, no conmigo.",0.2,0.5,0.5
"Me encanta cómo actúas como si nada, te sale natural.",0.2,0.4,0.5
"Todo bien, ya no espero nada de ti.",0.1,0.4,0.3
"Relájate, no eres tan importante como para afectarme así.",0.3,0.4,0.5
"Haz lo que quieras, igual siempre terminas haciendo eso.",0.2,0.4,0.4
Ni siquiera vale la pena discutir contigo.,0.2,0.3,0.4
Ya vi cómo eres cuando te da igual alguien.,0.2,0.4,0.3
Prefiero alejarme antes que seguir fingiendo que te importo.,0.1,0.5,0.3
"Quédate con quien sí te entretenga, claramente yo no.",0.2,0.5,0.4
"Ya no hace falta que finjas interés, se te cayó desde hace rato.",0.2,0.5,0.5
"Todo cool, ya aprendí a no tomarte en serio.",0.1,0.3,0.5
"Ni tú sabes lo que quieres, y se nota.",0.2,0.4,0.4
"Mejor así, ya no pierdo mi tiempo.",0.1,0.3,0.3
"Descuida, no te voy a volver a molestar.",0.1,0.3,0.2
Eres experta en hacer como que nada pasó.,0.2,0.4,0.4
"Yo sí sentía algo real, pero ya vi que fui el único.",0.1,0.5,0.3
"Tranquila, ya entendí que solo soy opción cuando te aburres.",0.1,0.6,0.4
"Si solo vas a contestar ‘xd’, mejor ni digas nada.",0.2,0.4,0.5
Qué fácil es hacerse la indiferente cuando no te importa.,0.2,0.5,0.5
Respondes como bot y luego te molesta que te lo diga.,0.3,0.4,0.5
"Tranqui, ya entendí que hablar contigo es como hablar solo.",0.1,0.4,0.4
Das respuestas vacías y esperas que uno sienta algo.,0.2,0.4,0.4
"Ni parece que quieras hablar, solo respondes por cumplir.",0.2,0.4,0.4
Me encanta cómo te haces la desentendida cuando te conviene.,0.2,0.5,0.5
"Si te molesta que te diga las cosas, imagínate a mí aguantarlas.",0.3,0.5,0.4
"Te conectas, pero para mí nunca tienes tiempo, curioso.",0.2,0.5,0.4
"Siempre tienes excusa para no estar, pero bien que estás en línea.",0.3,0.5,0.4
Ya ni disimulas cuando te da igual contestarme.,0.2,0.4,0.4
"Te pedí interés, no respuestas automáticas.",0.2,0.5,0.3
"Estás, pero no estás… y eso cansa más que no estar.",0.1,0.4,0.3
"Hablar contigo ya parece trámite, no ganas.",0.1,0.4,0.4
"Si así eres cuando ‘te importo’, no quiero ver cuando no.",0.2,0.5,0.4
Ni una conversación normal puedes mantener sin hacerlo raro.,0.2,0.4,0.4
"Luego te molesta que dude, pero mira cómo actúas.",0.2,0.4,0.4
"Te cuesta demasiado ser clara, pero para ignorar eres rápida.",0.2,0.4,0.4
Todo contigo es ‘nada’ hasta que te reclaman.,0.2,0.5,0.3
"Si tanto te molesta hablar, mejor déjalo así.",0.1,0.3,0.3
"Qué curioso, siempre apareces cuando ya no importa.",0.1,0.4,0.5
"Ni tú te tomas en serio, menos voy a hacerlo yo.",0.2,0.3,0.5
Hablar contigo ya es perder el tiempo y tú lo haces ver normal.,0.1,0.4,0.4
Siempre tan presente para todos… menos para mí.,0.2,0.6,0.3
Te gusta dejar las cosas a medias y hacer como si nada.,0.2,0.5,0.4
"No es que no entiendas, es que no quieres.",0.2,0.5,0.3
Tu forma de ‘estar’ es básicamente no estar.,0.1,0.4,0.4
Ni te esfuerzas en disimular que te da igual.,0.2,0.4,0.4
Te encanta voltear todo para no quedar mal tú.,0.3,0.6,0.4
Con esas respuestas mejor ni empieces conversación.,0.2,0.3,0.4
Te haces la ocupada pero solo conmigo.,0.2,0.5,0.4
"Ni sabes lo que haces, pero igual lo haces.",0.2,0.3,0.3
Siempre igual: haces algo y luego te haces la confundida.,0.2,0.5,0.4
"Si así demuestras interés, mejor no demuestres nada.",0.2,0.4,0.4
"Te gusta tener a la gente ahí, pero sin dar nada.",0.2,0.5,0.3
Hablar contigo es como chocar contra una pared.,0.1,0.3,0.4
Te desconectas emocionalmente y luego preguntas qué pasó.,0.2,0.4,0.3
"No cambias nada, pero esperas resultados distintos",0.2,0.5,0.3
"Eres buena evitando las cosas, no solucionándolas.",0.2,0.5,0.3
"Ni te importa arreglarlo, solo dejarlo así.",0.2,0.5,0.2
Siempre eliges lo fácil: ignorar y ya.,0.1,0.4,0.3
Te desapareces y luego vuelves como si todo estuviera bien.,0.1,0.5,0.3
"Te haces la tranquila, pero solo evitas el problema.",0.2,0.5,0.3
"No eres clara nunca, pero te molesta que te cuestionen.",0.2,0.5,0.3
Tu ‘nada’ ya dice más que cualquier explicación.,0.1,0.4,0.4
Ni siquiera sabes cuándo estás haciendo daño.,0.2,0.4,0.2
Prefieres hacer como que no pasa nada antes que hablar.,0.1,0.4,0.3
"Te cuesta demasiado ser directa, pero ignorar te sale fácil.",0.2,0.4,0.3
Todo contigo termina igual: sin respuesta y sin ganas.,0.1,0.4,0.3
"Si esto es lo que ofreces, está bastante claro todo.",0.1,0.4,0.3
"Ah ok, entonces solo apareces cuando te conviene y ya, cool",0.1,0.5,0.6
"Tranqui, ya entendí que hablar contigo es como hablarle a la pared",0.1,0.4,0.5
Me encanta como haces ver normal ignorar y luego actuar como si nada,0.2,0.4,0.5
"Neta qué raro, cuando tú quieres atención sí sabes escribir bien",0.2,0.4,0.5
"Ah entonces sí sabes responder, solo conmigo te da flojera jaja",0.2,0.4,0.5
"Todo bien, ya vi que soy opcional en tu día",0.1,0.5,0.4
"Ni te preocupes, ya me acostumbré a tus respuestas vacías",0.1,0.4,0.4
Es curioso cómo con otros sí tienes tema y conmigo puro,0.2,0.5,0.4
No sé para qué pregunto si igual vas a contestar lo mínimo,0.1,0.4,0.4
"Seguro estabas ‘ocupada’, como siempre casualmente cuando te hablo yo",0.2,0.5,0.4
Ya mejor dime directo que te da igual hablar conmigo,0.2,0.5,0.4
"Tranqui, no hace falta que finjas interés, se nota solo",0.1,0.4,0.5
Me encanta cómo cambias cuando estás con otra gente,0.2,0.4,0.4
"Ah con ellos sí hablas normal, conmigo versión robot, nice",0.2,0.4,0.5
No sé por qué me sorprende si siempre haces lo mismo,0.1,0.3,0.4
Literal pareces otra persona dependiendo con quién estés,0.2,0.4,0.4
"Jajaja seguro no estabas hablando con nadie, solo en línea por decoración",0.1,0.3,0.6
"Sí sí, invisible pero bien activa, qué coincidencia",0.1,0.3,0.6
"No pasa nada, sé leer entre líneas aunque pongas ‘nada’",0.1,0.3,0.5
A veces siento que solo me contestas por compromiso,0.1,0.5,0.3
"Pero bueno, luego soy yo el que ‘asume’ cosas",0.1,0.3,0.4
Igual si te molesta hablar conmigo puedes decirlo y ya,0.1,0.4,0.3
No tienes que hacer el esfuerzo mínimo solo para que no se note,0.1,0.4,0.4
"Tranquila, ya entendí el nivel de prioridad que tengo",0.1,0.5,0.4
No sabía que pedir una conversación normal era mucho,0.1,0.4,0.4
"Pero bueno, supongo que estoy pidiendo demasiado",0.1,0.4,0.3
"Qué chistoso, cuando te digo algo sí soy intenso pero tú haces esto y normal",0.2,0.5,0.5
"Luego soy yo el problema por reaccionar, pero ok",0.1,0.4,0.4
"Da igual, ya ni ganas de explicar nada si igual no cambia",0.1,0.3,0.3
"Solo dime si te interesa hablar o no, para no perder tiempo los dos",0.1,0.4,0.3
"Igual habla con el, parece que con él sí tienes ganas",0.2,0.6,0.4
"Seguro con él no usas solo ‘xd’, ¿verdad?",0.2,0.5,0.5
"Capaz con él sí te nace contestar bien, quién sabe",0.1,0.4,0.4
"Tranqui, no interrumpo, sigue con quien sí te interesa",0.1,0.5,0.4
"Pero bueno, todo bien, yo aquí como siempre sobrando un poco",0.1,0.5,0.4
"No te preocupes, ya me ubico en mi lugar",0.1,0.5,0.3
A veces siento que soy yo el único que intenta algo aquí,0.1,0.6,0.2
"Pero X, ya fue",0.0,0.2,0.2
"Ya, tranqui. Solo quería cerrar bien eso y ya",0.0,0.3,0.2
"No era para tanto tampoco, pero bueno.",0.0,0.3,0.3
"Igual ya entendí, no hace falta que digas más.",0.0,0.3,0.3
"Solo quería hablar normal, pero veo que no se puede",0.1,0.4,0.3
"No te estaba molestando, solo estaba intentando aclarar algo.",0.1,0.3,0.2
"Pero bueno, si te incomoda, ya mejor lo dejo así",0.0,0.3,0.2
"Ni siquiera era pelea, pero lo llevaste a eso.",0.1,0.4,0.3
Era una llamada normal y se salió de control por nada.,0.1,0.4,0.3
No sé en qué momento se volvió tanto problema,0.1,0.3,0.2
"Yo solo quería hablar, no sé por qué reaccionaste así",0.1,0.4,0.2
Igual ya da lo mismo a estas alturas.,0.0,0.3,0.2
No tiene caso insistir si tú no quieres.,0.1,0.4,0.2
"Ya entendí el mensaje, no te preocupes.",0.0,0.3,0.2
"No hace falta bloquear en todos lados, con decirlo bastaba.",0.2,0.4,0.3
"Solo quería cerrar bien las cosas, no estar molestando.",0.0,0.3,0.2
"Pero bueno, si así estás más tranquila, está bien.",0.0,0.3,0.1
"No era para que terminará así, pero ya fue.",0.1,0.3,0.2
"Ni siquiera estaba reclamando, solo quería hablar normal.",0.0,0.3,0.2
Pero supongo que ya no hay nada que hablar,0.1,0.3,0.2
Ya ni sentido tiene seguir escribiendo.,0.1,0.3,0.2
"Solo quería entender qué pedo, pero X",0.1,0.3,0.2
"Igual no ibas a decir mucho, ya sé cómo eres",0.1,0.4,0.3
"Da igual, ya no tiene caso darle vueltas.",0.0,0.3,0.2
"No te estaba pidiendo nada raro, solo hablar.",0.0,0.3,0.1
"Pero bueno, si para ti eso es molestar, ya entendí.",0.1,0.4,0.3
Ya mejor cada quien por su lado y listo.,0.0,0.3,0.1
"No quería que terminara así, pero tampoco voy a forzar nada.",0.0,0.3,0.1
"ya mejor di que no quieres hablar y listo, te ahorras todo esto",0.1,0.4,0.3
no sé para qué respondes si claramente no quieres,0.1,0.4,0.3
"igual ya entendí, no hace falta que lo sigas dejando claro",0.0,0.3,0.3
"tranquila, no te voy a insistir más",0.0,0.3,0.1
solo quería cerrar bien pero veo que ni eso,0.1,0.4,0.2
"no te estoy molestando, solo estoy hablando, tú decides cómo lo tomas",0.1,0.3,0.2
si te incomoda tanto pues ya no contesto y ya,0.1,0.3,0.2
no sé por qué todo lo haces ver como si fuera problema,0.2,0.4,0.3
"literal solo te escribí y ya, no es para tanto",0.1,0.3,0.3
"pero bueno, ya vi que cualquier cosa que diga te molesta",0.1,0.4,0.3
"da igual, no vale la pena seguirle",0.0,0.3,0.2
mejor dejamos esto así,0.0,0.2,0.1
ni tú quieres hablar ni yo voy a estar rogando,0.1,0.4,0.2
solo quería saber en qué plan estás pero ya vi que ninguno conmigo,0.1,0.5,0.3
"ni siquiera es pelea, solo cero ganas de tu lado",0.1,0.4,0.3
ya no sé ni cómo hablarte sin que te moleste,0.1,0.4,0.2
"igual ya fue, no tienes que bloquear en todos lados para decirlo",0.2,0.4,0.3
con dejar de contestar era suficiente,0.1,0.3,0.3
"pero bueno, cada quien maneja las cosas como puede",0.0,0.2,0.2
"todo bien, no te preocupes, ya no te escribo más",0.0,0.2,0.2
no hace falta que respondas tampoco,0.0,0.2,0.2
cuídate,0.0,0.1,0.0
"y sí, probablemente fui intenso, pero tampoco era para todo esto",0.1,0.3,0.3
solo quería hablar normal pero se hizo un pedo,0.1,0.3,0.2
ya mejor lo dejo así,0.0,0.2,0.1
"ni siquiera estoy enojado ya, solo cansado",0.0,0.2,0.1
"pero bueno, supongo que así quedó",0.0,0.2,0.1
igual suerte con lo tuyo,0.0,0.1,0.1
"espero que te vaya bien, en serio",0.0,0.1,0.1
yo ya no voy a meterme más,0.0,0.2,0.1
En serio vas a terminar solo por esto,0.2,0.6,0.2
